author_id,total_tweets,retweet_count,original_count,retweet_dependency,dependency_label
1209265795,31,31,0,100.0,100.0%
2590160087,31,31,0,100.0,100.0%
2596377180,31,31,0,100.0,100.0%
2940526978,31,31,0,100.0,100.0%
3074662647,31,31,0,100.0,100.0%
3294739832,31,31,0,100.0,100.0%
3383147584,31,31,0,100.0,100.0%
4066398117,31,31,0,100.0,100.0%
4202785636,31,31,0,100.0,100.0%
729702157365161984,31,31,0,100.0,100.0%
897856494498189313,31,31,0,100.0,100.0%
902979675722571776,31,31,0,100.0,100.0%
960482638929846272,31,31,0,100.0,100.0%
77300052,30,30,0,100.0,100.0%
174811555,30,30,0,100.0,100.0%
228094055,30,30,0,100.0,100.0%
271321255,30,30,0,100.0,100.0%
304507855,30,30,0,100.0,100.0%
309541213,30,30,0,100.0,100.0%
719178718,30,30,0,100.0,100.0%
979025514,30,30,0,100.0,100.0%
1427130452,30,30,0,100.0,100.0%
2287832779,30,30,0,100.0,100.0%
2848854477,30,30,0,100.0,100.0%
3014391531,30,30,0,100.0,100.0%
3062258314,30,30,0,100.0,100.0%
3309409581,30,30,0,100.0,100.0%
3333497937,30,30,0,100.0,100.0%
3416050185,30,30,0,100.0,100.0%
859843879968923649,30,30,0,100.0,100.0%
916008647930544131,30,30,0,100.0,100.0%
953744152809926657,30,30,0,100.0,100.0%
999239981280448512,30,30,0,100.0,100.0%
1000804658217209856,30,30,0,100.0,100.0%
1144300651750600706,30,30,0,100.0,100.0%
1208435046694170626,30,30,0,100.0,100.0%
1225865121290952710,30,30,0,100.0,100.0%
86765241,29,29,0,100.0,100.0%
278219548,29,29,0,100.0,100.0%
300476450,29,29,0,100.0,100.0%
349053550,29,29,0,100.0,100.0%
416542120,29,29,0,100.0,100.0%
425130272,29,29,0,100.0,100.0%
600012172,29,29,0,100.0,100.0%
1106836262,29,29,0,100.0,100.0%
1281665401,29,29,0,100.0,100.0%
2891962360,29,29,0,100.0,100.0%
2900954981,29,29,0,100.0,100.0%
3064774786,29,29,0,100.0,100.0%
3121785507,29,29,0,100.0,100.0%
3149330285,29,29,0,100.0,100.0%
3908862448,29,29,0,100.0,100.0%
4582678395,29,29,0,100.0,100.0%
4704840332,29,29,0,100.0,100.0%
702449123090436096,29,29,0,100.0,100.0%
732669754708795392,29,29,0,100.0,100.0%
737914253794025472,29,29,0,100.0,100.0%
855330514349080577,29,29,0,100.0,100.0%
934869421331492864,29,29,0,100.0,100.0%
1070024207189336065,29,29,0,100.0,100.0%
1383762107313754113,29,29,0,100.0,100.0%
1390777143920037889,29,29,0,100.0,100.0%
1451229284568387588,29,29,0,100.0,100.0%
118094393,28,28,0,100.0,100.0%
315791625,28,28,0,100.0,100.0%
427735550,28,28,0,100.0,100.0%
520279445,28,28,0,100.0,100.0%
834441480,28,28,0,100.0,100.0%
1165827704,28,28,0,100.0,100.0%
2425846856,28,28,0,100.0,100.0%
2653405617,28,28,0,100.0,100.0%
2778696932,28,28,0,100.0,100.0%
3006074032,28,28,0,100.0,100.0%
3015213797,28,28,0,100.0,100.0%
710808790854193152,28,28,0,100.0,100.0%
721457020365336576,28,28,0,100.0,100.0%
733750969394139136,28,28,0,100.0,100.0%
940301665059659776,28,28,0,100.0,100.0%
965665330818441218,28,28,0,100.0,100.0%
989835765747240961,28,28,0,100.0,100.0%
1014224247097647104,28,28,0,100.0,100.0%
1102959837846097922,28,28,0,100.0,100.0%
1267020870482120711,28,28,0,100.0,100.0%
1429354699145285634,28,28,0,100.0,100.0%
1476957495461617673,28,28,0,100.0,100.0%
18056833,27,27,0,100.0,100.0%
58761105,27,27,0,100.0,100.0%
168066151,27,27,0,100.0,100.0%
194051543,27,27,0,100.0,100.0%
251737849,27,27,0,100.0,100.0%
890786666,27,27,0,100.0,100.0%
1033464877,27,27,0,100.0,100.0%
1307026472,27,27,0,100.0,100.0%
1581241940,27,27,0,100.0,100.0%
2189904532,27,27,0,100.0,100.0%
2194605741,27,27,0,100.0,100.0%
2400347633,27,27,0,100.0,100.0%
2771073634,27,27,0,100.0,100.0%
2998276066,27,27,0,100.0,100.0%
3118127374,27,27,0,100.0,100.0%
3119637075,27,27,0,100.0,100.0%
3190731226,27,27,0,100.0,100.0%
3972368314,27,27,0,100.0,100.0%
712884108712611840,27,27,0,100.0,100.0%
715136634300276736,27,27,0,100.0,100.0%
907339117977108480,27,27,0,100.0,100.0%
954357713814859778,27,27,0,100.0,100.0%
969978551322759168,27,27,0,100.0,100.0%
1069216269797335040,27,27,0,100.0,100.0%
1071464638305439744,27,27,0,100.0,100.0%
1265933575431557122,27,27,0,100.0,100.0%
1326332700702224384,27,27,0,100.0,100.0%
1342912969697583107,27,27,0,100.0,100.0%
1368855917127680002,27,27,0,100.0,100.0%
1382382009352392704,27,27,0,100.0,100.0%
1416324683683749888,27,27,0,100.0,100.0%
1507327637202653203,27,27,0,100.0,100.0%
40843508,26,26,0,100.0,100.0%
180971221,26,26,0,100.0,100.0%
198858350,26,26,0,100.0,100.0%
289223723,26,26,0,100.0,100.0%
584664570,26,26,0,100.0,100.0%
599952266,26,26,0,100.0,100.0%
889814352,26,26,0,100.0,100.0%
1275020917,26,26,0,100.0,100.0%
2239509986,26,26,0,100.0,100.0%
2594859366,26,26,0,100.0,100.0%
2932027260,26,26,0,100.0,100.0%
3169394667,26,26,0,100.0,100.0%
3270271285,26,26,0,100.0,100.0%
760390393062195200,26,26,0,100.0,100.0%
779541847932825600,26,26,0,100.0,100.0%
803378315100876800,26,26,0,100.0,100.0%
824008828719140864,26,26,0,100.0,100.0%
888346102075936768,26,26,0,100.0,100.0%
